*######################################################*
#                                                      #
#                                                      #
#                   Printing B_iml                     #
#                     aka WOOP                         #
#                                                      #
*######################################################*
MO=  3 | AO_m=  3 [ 0, 1, 0] | AO_l=  3 [ 0, 1, 0] | B_iml=   0.005203
MO=  3 | AO_m=  6 [ 0, 1, 0] | AO_l=  6 [ 0, 1, 0] | B_iml=   0.001107
MO=  3 | AO_m=  7 [ 0, 1, 0] | AO_l=  7 [ 0, 1, 0] | B_iml=   0.000634
MO=  3 | AO_m= 15 [ 0, 1, 0] | AO_l= 15 [ 0, 1, 0] | B_iml=   0.000958
MO=  3 | AO_m= 11 [ 0, 0, 1] | AO_l= 11 [ 0, 0, 1] | B_iml=   0.000937
MO=  3 | AO_m=  2 [ 0,-1, 0] | AO_l=  2 [ 0,-1, 0] | B_iml=   0.000238
MO=  3 | AO_m=  6 [ 0,-1, 0] | AO_l=  6 [ 0,-1, 0] | B_iml=   0.001107
MO=  3 | AO_m=  7 [ 0,-1, 0] | AO_l=  7 [ 0,-1, 0] | B_iml=   0.000634
MO=  3 | AO_m=  6 [ 0, 0,-1] | AO_l=  6 [ 0, 0,-1] | B_iml=   0.094048
MO=  3 | AO_m= 11 [ 0, 0,-1] | AO_l= 11 [ 0, 0,-1] | B_iml=   0.000937
MO=  3 | AO_m= 15 [ 0, 0,-1] | AO_l= 15 [ 0, 0,-1] | B_iml=   0.000958
MO=  4 | AO_m=  1 [ 0, 0, 0] | AO_l=  1 [ 0, 0, 0] | B_iml=   0.005204
MO=  4 | AO_m=  3 [ 0, 0, 0] | AO_l=  3 [ 0, 0, 0] | B_iml=   0.005711
MO=  4 | AO_m=  5 [ 0, 0, 0] | AO_l=  5 [ 0, 0, 0] | B_iml=   0.094048
MO=  4 | AO_m= 10 [ 0, 0, 0] | AO_l= 10 [ 0, 0, 0] | B_iml=   0.000958
MO=  4 | AO_m= 12 [ 0, 0, 0] | AO_l= 12 [ 0, 0, 0] | B_iml=   1.748859
MO=  4 | AO_m= 12 [ 1, 0, 0] | AO_l= 12 [ 1, 0, 0] | B_iml=   0.000937
MO=  4 | AO_m=  1 [ 0, 1, 0] | AO_l=  1 [ 0, 1, 0] | B_iml=   0.005204
MO=  4 | AO_m=  3 [ 0, 1, 0] | AO_l=  3 [ 0, 1, 0] | B_iml=   0.005711
MO=  4 | AO_m=  1 [ 0, 0, 1] | AO_l=  1 [ 0, 0, 1] | B_iml=   0.005204
MO=  4 | AO_m=  3 [ 0, 0, 1] | AO_l=  3 [ 0, 0, 1] | B_iml=   0.005711
MO=  4 | AO_m=  4 [ 0, 0, 1] | AO_l=  4 [ 0, 0, 1] | B_iml=   0.000667
MO=  4 | AO_m=  5 [ 0, 0, 1] | AO_l=  5 [ 0, 0, 1] | B_iml=   0.001107
MO=  4 | AO_m= 10 [ 0, 0, 1] | AO_l= 10 [ 0, 0, 1] | B_iml=   0.000958
MO=  4 | AO_m=  5 [-1, 0, 0] | AO_l=  5 [-1, 0, 0] | B_iml=   0.094048
MO=  4 | AO_m= 10 [-1, 0, 0] | AO_l= 10 [-1, 0, 0] | B_iml=   0.000958
MO=  4 | AO_m= 12 [-1, 0, 0] | AO_l= 12 [-1, 0, 0] | B_iml=   0.000937
MO=  4 | AO_m=  3 [ 0, 0,-1] | AO_l=  3 [ 0, 0,-1] | B_iml=   0.000238
MO=  4 | AO_m=  4 [ 0, 0,-1] | AO_l=  4 [ 0, 0,-1] | B_iml=   0.000667
MO=  4 | AO_m=  5 [ 0, 0,-1] | AO_l=  5 [ 0, 0,-1] | B_iml=   0.001107
MO=  5 | AO_m=  2 [ 0, 0, 0] | AO_l=  2 [ 0, 0, 0] | B_iml=   0.000339
MO=  5 | AO_m=  4 [ 0, 0, 0] | AO_l=  4 [ 0, 0, 0] | B_iml=   0.037631
MO=  5 | AO_m=  7 [ 0, 0, 0] | AO_l=  7 [ 0, 0, 0] | B_iml=   0.112894
MO=  5 | AO_m=  9 [ 0, 0, 0] | AO_l=  9 [ 0, 0, 0] | B_iml=   0.000932
MO=  5 | AO_m= 13 [ 0, 0, 0] | AO_l= 13 [ 0, 0, 0] | B_iml=   1.676648
MO=  5 | AO_m= 17 [ 0, 0, 0] | AO_l= 17 [ 0, 0, 0] | B_iml=   0.000944
MO=  5 | AO_m=  7 [ 1, 0, 0] | AO_l=  7 [ 1, 0, 0] | B_iml=   0.000499
MO=  5 | AO_m= 13 [ 1, 0, 0] | AO_l= 13 [ 1, 0, 0] | B_iml=   0.002625
MO=  5 | AO_m=  2 [ 0, 1, 0] | AO_l=  2 [ 0, 1, 0] | B_iml=   0.000339
MO=  5 | AO_m=  8 [ 0, 1, 0] | AO_l=  8 [ 0, 1, 0] | B_iml=   0.000249
MO=  5 | AO_m= 17 [ 0, 1, 0] | AO_l= 17 [ 0, 1, 0] | B_iml=   0.000944
MO=  5 | AO_m=  2 [ 0, 0, 1] | AO_l=  2 [ 0, 0, 1] | B_iml=   0.000339
MO=  5 | AO_m=  5 [ 0, 0, 1] | AO_l=  5 [ 0, 0, 1] | B_iml=   0.000249
MO=  5 | AO_m=  9 [ 0, 0, 1] | AO_l=  9 [ 0, 0, 1] | B_iml=   0.000932
MO=  5 | AO_m=  4 [-1, 0, 0] | AO_l=  4 [-1, 0, 0] | B_iml=   0.037631
MO=  5 | AO_m=  7 [-1, 0, 0] | AO_l=  7 [-1, 0, 0] | B_iml=   0.112894
MO=  5 | AO_m=  9 [-1, 0, 0] | AO_l=  9 [-1, 0, 0] | B_iml=   0.000932
MO=  5 | AO_m= 13 [-1, 0, 0] | AO_l= 13 [-1, 0, 0] | B_iml=   0.002625
MO=  5 | AO_m= 17 [-1, 0, 0] | AO_l= 17 [-1, 0, 0] | B_iml=   0.000944
MO=  5 | AO_m=  8 [ 0,-1, 0] | AO_l=  8 [ 0,-1, 0] | B_iml=   0.000249
MO=  5 | AO_m=  5 [ 0, 0,-1] | AO_l=  5 [ 0, 0,-1] | B_iml=   0.000249
MO=  6 | AO_m=  1 [ 0, 0, 0] | AO_l=  1 [ 0, 0, 0] | B_iml=   0.005711
MO=  6 | AO_m=  3 [ 0, 0, 0] | AO_l=  3 [ 0, 0, 0] | B_iml=   0.005203
MO=  6 | AO_m=  8 [ 0, 0, 0] | AO_l=  8 [ 0, 0, 0] | B_iml=   0.094048
MO=  6 | AO_m= 14 [ 0, 0, 0] | AO_l= 14 [ 0, 0, 0] | B_iml=   1.748863
MO=  6 | AO_m= 16 [ 0, 0, 0] | AO_l= 16 [ 0, 0, 0] | B_iml=   0.000958
MO=  6 | AO_m= 14 [ 1, 0, 0] | AO_l= 14 [ 1, 0, 0] | B_iml=   0.000937
MO=  6 | AO_m=  1 [ 0, 1, 0] | AO_l=  1 [ 0, 1, 0] | B_iml=   0.005711
MO=  6 | AO_m=  3 [ 0, 1, 0] | AO_l=  3 [ 0, 1, 0] | B_iml=   0.005203
MO=  6 | AO_m=  4 [ 0, 1, 0] | AO_l=  4 [ 0, 1, 0] | B_iml=   0.000314
MO=  6 | AO_m=  7 [ 0, 1, 0] | AO_l=  7 [ 0, 1, 0] | B_iml=   0.000381
MO=  6 | AO_m=  8 [ 0, 1, 0] | AO_l=  8 [ 0, 1, 0] | B_iml=   0.001107
MO=  6 | AO_m= 16 [ 0, 1, 0] | AO_l= 16 [ 0, 1, 0] | B_iml=   0.000958
MO=  6 | AO_m=  1 [ 0, 0, 1] | AO_l=  1 [ 0, 0, 1] | B_iml=   0.005711
MO=  6 | AO_m=  3 [ 0, 0, 1] | AO_l=  3 [ 0, 0, 1] | B_iml=   0.005203
MO=  6 | AO_m=  8 [-1, 0, 0] | AO_l=  8 [-1, 0, 0] | B_iml=   0.094048
MO=  6 | AO_m= 14 [-1, 0, 0] | AO_l= 14 [-1, 0, 0] | B_iml=   0.000937
MO=  6 | AO_m= 16 [-1, 0, 0] | AO_l= 16 [-1, 0, 0] | B_iml=   0.000958
MO=  6 | AO_m=  1 [ 0,-1, 0] | AO_l=  1 [ 0,-1, 0] | B_iml=   0.000238
MO=  6 | AO_m=  4 [ 0,-1, 0] | AO_l=  4 [ 0,-1, 0] | B_iml=   0.000314
MO=  6 | AO_m=  7 [ 0,-1, 0] | AO_l=  7 [ 0,-1, 0] | B_iml=   0.000381
MO=  6 | AO_m=  8 [ 0,-1, 0] | AO_l=  8 [ 0,-1, 0] | B_iml=   0.001107
MO=  7 | AO_m=  1 [ 0, 0, 0] | AO_l=  1 [ 0, 0, 0] | B_iml=   0.005204
MO=  7 | AO_m=  2 [ 0, 0, 0] | AO_l=  2 [ 0, 0, 0] | B_iml=   0.005711
MO=  7 | AO_m=  6 [ 0, 0, 0] | AO_l=  6 [ 0, 0, 0] | B_iml=   0.094048
MO=  7 | AO_m= 11 [ 0, 0, 0] | AO_l= 11 [ 0, 0, 0] | B_iml=   0.000958
MO=  7 | AO_m= 15 [ 0, 0, 0] | AO_l= 15 [ 0, 0, 0] | B_iml=   1.748859
MO=  7 | AO_m=  1 [ 1, 0, 0] | AO_l=  1 [ 1, 0, 0] | B_iml=   0.005204
MO=  7 | AO_m=  2 [ 1, 0, 0] | AO_l=  2 [ 1, 0, 0] | B_iml=   0.005711
MO=  7 | AO_m= 15 [ 0, 1, 0] | AO_l= 15 [ 0, 1, 0] | B_iml=   0.000937
